STATE,COUNTY,HOG2022FAC,HOG2022NUM
Arkansas,Lee,-,-
Arkansas,Lincoln,-,-
Arkansas,LittleRiver,-,-
Arkansas,Logan,-,-
Arkansas,Lonoke,-,-
Arkansas,Madison,-,-
Arkansas,Marion,-,-
Arkansas,Miller,-,-
Arkansas,Mississippi,-,-
Arkansas,Monroe,-,-
Arkansas,Montgomery,-,-
Arkansas,Nevada,-,-
Arkansas,Newton,-,-
Arkansas,Ouachita,-,-
Arkansas,Perry,-,-
Arkansas,Phillips,-,-
Arkansas,Pike,2,(D)
Arkansas,Poinsett,-,-
Arkansas,Polk,1,(D)
Arkansas,Pope,3,"5,200"
Arkansas,Prairie,-,-
Arkansas,Pulaski,-,-
Arkansas,Randolph,-,-
Arkansas,St.Francis,-,-
Arkansas,Saline,-,-
Arkansas,Scott,-,-
Arkansas,Searcy,-,-
Arkansas,Sebastian,-,-
Arkansas,Sevier,4,(D)
Arkansas,Sharp,-,-
Arkansas,Stone,-,-
Arkansas,Union,-,-
Arkansas,VanBuren,-,-
Arkansas,Washington,2,(D)
Arkansas,White,-,-
Arkansas,Woodruff,-,-
Arkansas,Yell,2,(D)
California,California,6,"57,011"
California,Alameda,-,-
California,Alpine,-,-
California,Amador,-,-
California,Butte,1,(D)
California,Calaveras,-,-
California,Colusa,-,-
California,ContraCosta,-,-
California,DelNorte,-,-
California,ElDorado,-,-
California,Fresno,1,(D)
California,Glenn,-,-
California,Humboldt,-,-
California,Imperial,-,-
California,Inyo,-,-
California,Kern,-,-
California,Kings,-,-
California,Lake,-,-
California,Lassen,-,-
California,LosAngeles,-,-
California,Madera,-,-
California,Marin,-,-
California,Mariposa,-,-
California,Mendocino,-,-
California,Merced,-,-
California,Modoc,-,-
California,Mono,-,-
California,Monterey,-,-
California,Napa,-,-
California,Nevada,-,-
California,Orange,-,-
California,Placer,-,-
California,Plumas,-,-
California,Riverside,-,-
California,Sacramento,-,-
California,SanBenito,-,-
California,SanBernardino,-,-
California,SanDiego,1,(D)
California,SanFrancisco,-,-
California,SanJoaquin,-,-
California,SanLuisObispo,-,-
California,SanMateo,-,-
California,SantaBarbara,-,-
California,SantaClara,-,-
California,SantaCruz,-,-
California,Shasta,-,-
California,Sierra,-,-
California,Siskiyou,-,-
California,Solano,-,-
California,Sonoma,-,-
California,Stanislaus,2,(D)
California,Sutter,-,-
California,Tehama,-,-
California,Trinity,-,-
California,Tulare,1,(D)
California,Tuolumne,-,-
California,Ventura,-,-
California,Yolo,-,-
California,Yuba,-,-
Colorado,Colorado,12,"500,823"
Colorado,Adams,1,(D)
Colorado,Alamosa,-,-
Colorado,Arapahoe,-,-
Colorado,Archuleta,-,-
Colorado,Baca,-,-
Colorado,Bent,1,(D)
