"state","county.x","pop_summed","area_summed","cattled_farms_summed","cattle_count_summed","broiler_farms_summed","broiler_count_summed","layer_farms_summed","layer_count_summed","hog_farms_summed","hog_count_summed","sheep_farms_summed","sheep_count_summed","Population..2020.census.","Area..mi.2.","cattle.farms.x","cattle.count.x","hog.farm.x","hog.count.x","sheep.farm.x","sheep.count.x","broiler.farm.x","broiler.count.x","layer.farm.x","layer.count.x","X","county.y","cattle.farms.y","cattle.count.y","hog.farm.y","hog.count.y","layer.farm.y","layer.count.y","broiler.farm.y","broiler.count.y","sheep.farm.y","sheep.count.y","surrounding_population_density","population_density","animal_density","surrounding_animal_density"
"alabama","marion",238672,5308.79,1690,74986,182,92258978,388,268556,84,601,77,1586,29341,742.29,271,13007,3,-47,5,31,63,37454800,53,833,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,44.9578905927716,39.5276778617521,17.5228010615797,14.1248759133437
"alabama","marshall",983809,5716.34,4978,265675,829,406599182,1057,3802316,224,3779,312,15886,97612,565.84,736,38476,14,183,55,1532,136,73280317,109,366260,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,172.104703359142,172.508129506574,67.9980206418776,46.4764167281862
"alabama","chambers",376385,3379.14,1125,92699,95,38867980,330,228974,52,301,51,1709,34772,596.53,210,39162,10,107,11,238,1,-47,68,1459,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,111.384849399551,58.2904464151007,65.649673947664,27.4327195677007
"alabama","cherokee",497914,4169.75,2541,137984,394,243566159,671,1581029,170,2426,162,4144,24971,553.7,220,12140,25,-47,15,620,32,33039477,100,-47,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,119.410995863061,45.0984287520318,21.9252302690988,33.0916721625997
"alabama","montgomery",462139,5225.7,1630,165848,182,126757028,242,219227,55,374,56,1162,228954,784.25,265,38527,2,-47,5,51,11,3211717,31,566,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,88.4358076429952,291.940070130698,49.1259164807141,31.7369921732974
"alabama","morgan",833695,3932.23,3476,175916,502,232894735,730,2166272,165,1884,257,14484,123421,579.34,542,28032,37,325,57,9209,57,21684012,161,-47,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,212.015828168749,213.037249283668,48.3860945213519,44.7369558749107
"alabama","perry",148388,4634.6,1169,119815,21,2016452,239,7994,59,510,47,1004,8511,719.66,173,15564,1,-47,7,176,0,0,29,814,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,32.0174340827687,11.8264180307367,21.6268793596976,25.8522849868381
"alabama","pickens",365691,6183.67,1283,90125,96,44702779,237,347829,65,3978,54,2364,19123,881.41,202,17284,9,-47,10,286,38,19936041,48,104287,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,59.1381816946894,21.6959190388128,19.6094893409424,14.5746781442089
"alabama","pike",413528,4812.98,1564,160447,345,268426244,212,525330,54,351,51,1304,33009,672.09,265,22628,12,38,2,-47,89,58485100,29,-47,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,85.9193264879555,49.11395795206,33.668109925754,33.3363113912794
"alabama","randolph",327328,4266.66,1822,142376,272,155654631,423,777968,82,568,84,2241,21967,580.55,385,28776,4,10,15,264,72,34998910,74,222443,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,76.717619871281,37.8382568254242,49.5667901128241,33.3694271397299
"alabama","russell",510337,4289.25,801,69076,75,34595761,195,109326,49,303,34,942,59183,641.14,127,12740,10,48,8,134,9,2941078,40,1046,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,118.980474441919,92.3090120722463,19.870855039461,16.1044471644227
"alabama","shelby",1148691,5231.25,1201,59475,90,31185995,459,12222,110,1032,83,2127,223024,784.93,118,4786,8,165,11,612,6,78,71,1551,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,219.582508960573,284.132343011479,6.09735900016562,11.3691756272401
