GEOID,Longitude,Latitude,NH3 column
17185,-87.8391674,38.4458209,1.18458E+16
18069,-85.4785975,40.8263938,1.00484E+16
21209,-84.5783405,38.2857099,8.09296E+15
19053,-93.7845799,40.7363787,1.3785E+16
18169,-85.7951915,40.8437475,1.08071E+16
18003,-85.0717907,41.0919086,9.76018E+15
18099,-86.2690363,41.3250032,1.04957E+16
31171,-100.5247028,41.8557296,1.40067E+16
38085,-101.061284,46.1106181,8.90702E+15
48127,-99.7658713,28.4235871,2.53623E+15
27045,-92.0939369,43.6791869,9.72741E+15
45023,-81.1612488,34.6893424,5.59512E+15
27073,-96.176836,44.9998559,1.05671E+16
49005,-111.7453936,41.7341179,7.35661E+15
55093,-92.4262793,44.7253365,9.7457E+15
13049,-82.1396442,30.7799036,3.77503E+15
13233,-85.1883384,33.9960153,6.3616E+15
17113,-88.8445391,40.4945594,9.83134E+15
23001,-70.2074347,44.1676811,2.32691E+15
16055,-116.6959192,47.6759569,4.69447E+15
32003,-115.0143977,36.2141295,6.61501E+15
20147,-99.3421498,39.7845058,1.96359E+16
31089,-98.7847662,42.4592867,1.6156E+16
29101,-93.8118634,38.741528,1.29272E+16
55063,-91.1117584,43.9082222,8.36325E+15
22021,-92.1142311,32.1012195,6.37874E+15
21061,-86.2180153,37.2275136,8.19772E+15
17005,-89.4365916,38.885924,1.13747E+16
17009,-90.7503095,39.9620694,1.16736E+16
27085,-94.2723231,44.8216571,9.74874E+15
55033,-91.8976451,44.9477513,1.00687E+16
8027,-105.3735123,38.1019955,2.94063E+15
29123,-90.3434128,37.4744807,9.08747E+15
48353,-100.4181078,32.3123379,4.63689E+15
42127,-75.2924932,41.6466021,4.29642E+15
36091,-73.8553872,43.1061353,3.6997E+15
48041,-96.3023935,30.6567132,4.35494E+15
40095,-96.7705327,34.0270069,9.04125E+15
24001,-78.7031037,39.6123134,4.4096E+15
54103,-80.6353994,39.59818,6.16877E+15
55053,-90.7995104,44.3245897,8.03934E+15
41007,-123.7050366,46.0245094,1.50253E+15
53041,-122.3774443,46.5800714,1.98476E+15
36003,-78.0261531,42.2478532,4.45391E+15
19031,-91.1326105,41.77236,1.10544E+16
18117,-86.489257,38.5473812,1.01469E+16
13089,-84.2263432,33.7706611,5.48448E+15
