County,2020,2021,2022,Rank in state,Percent change,Percent change,Rank in state,State
Hancock,"50,960","61,665","66,602",21,21,8,18,Iowa
Hardin,"48,765","61,183","68,981",14,25.5,12.7,8,Iowa
Harrison,"48,510","55,926","58,283",58,15.3,4.2,45,Iowa
Henry,"45,115","49,339","50,108",89,9.4,1.6,88,Iowa
Howard,"49,253","59,877","63,152",35,21.6,5.5,33,Iowa
Humboldt,"50,063","57,179","60,563",47,14.2,5.9,28,Iowa
Ida,"54,393","68,789","76,977",7,26.5,11.9,11,Iowa
Iowa,"54,833","59,734","60,646",45,8.9,1.5,90,Iowa
Jackson,"48,820","53,974","55,537",63,10.6,2.9,64,Iowa
Jasper,"45,513","50,197","50,521",87,10.3,0.6,97,Iowa
Jefferson,"48,566","53,380","54,979",68,9.9,3,63,Iowa
Johnson,"56,435","60,934","62,302",39,8,2.2,73,Iowa
Jones,"47,422","52,356","53,581",75,10.4,2.3,72,Iowa
Keokuk,"47,919","54,532","55,331",65,13.8,1.5,92,Iowa
Kossuth,"51,038","63,200","66,517",23,23.8,5.2,38,Iowa
Lee,"46,428","49,412","49,927",91,6.4,1,95,Iowa
Linn,"55,321","59,685","60,928",44,7.9,2.1,76,Iowa
Louisa,"46,612","51,581","52,933",80,10.7,2.6,68,Iowa
Lucas,"44,635","48,360","49,289",93,8.3,1.9,80,Iowa
Lyon,"56,584","65,527","71,805",9,15.8,9.6,15,Iowa
Madison,"52,843","57,314","58,339",57,8.5,1.8,82,Iowa
Mahaska,"45,319","50,087","51,311",85,10.5,2.4,70,Iowa
Marion,"52,773","57,927","59,714",53,9.8,3.1,60,Iowa
Marshall,"45,331","48,899","48,756",94,7.9,-0.3,98,Iowa
Mills,"61,390","67,227","70,833",10,9.5,5.4,35,Iowa
Mitchell,"57,415","75,311","96,075",1,31.2,27.6,1,Iowa
Monona,"47,254","57,226","60,488",49,21.1,5.7,29,Iowa
Monroe,"49,359","53,781","54,947",69,9,2.2,75,Iowa
Montgomery,"43,668","48,838","50,343",88,11.8,3.1,61,Iowa
Muscatine,"50,498","53,470","54,297",72,5.9,1.5,89,Iowa
O'Brien,"54,017","60,762","64,968",29,12.5,6.9,25,Iowa
Osceola,"47,474","57,362","65,405",24,20.8,14,6,Iowa
Page,"45,473","52,360","53,235",78,15.1,1.7,86,Iowa
Palo Alto,"47,537","58,036","65,080",27,22.1,12.1,10,Iowa
Plymouth,"56,546","63,028","67,398",19,11.5,6.9,24,Iowa
Pocahontas,"47,797","59,043","63,470",34,23.5,7.5,20,Iowa
Polk,"57,284","61,908","62,653",37,8.1,1.2,94,Iowa
Pottawattamie,"47,560","51,378","52,369",83,8,1.9,79,Iowa
Poweshiek,"47,469","53,043","56,228",62,11.7,6,27,Iowa
Ringgold,"49,644","57,890","57,345",61,16.6,-0.9,99,Iowa
Sac,"54,394","67,441","77,933",6,24,15.6,5,Iowa
Scott,"56,697","61,380","63,064",36,8.3,2.7,66,Iowa
Shelby,"52,680","63,076","66,542",22,19.7,5.5,32,Iowa
Sioux,"54,447","59,185","67,349",20,8.7,13.8,7,Iowa
Story,"44,838","48,421","49,748",92,8,2.7,67,Iowa
Tama,"48,887","56,917","57,918",59,16.4,1.8,83,Iowa
Taylor,"45,769","55,629","57,591",60,21.5,3.5,54,Iowa
Union,"43,427","49,179","50,034",90,13.2,1.7,85,Iowa
Van Buren,"41,122","47,167","47,996",96,14.7,1.8,84,Iowa
Wapello,"42,489","45,210","45,795",98,6.4,1.3,93,Iowa
Warren,"54,580","59,397","60,515",48,8.8,1.9,81,Iowa
Washington,"58,654","71,324","78,929",5,21.6,10.7,12,Iowa
Wayne,"44,373","52,356","53,155",79,18,1.5,91,Iowa
Webster,"46,570","51,407","53,508",76,10.4,4.1,48,Iowa
Winnebago,"43,900","51,433","55,013",67,17.2,7,23,Iowa
Winneshiek,"54,221","59,174","61,042",42,9.1,3.2,59,Iowa
Woodbury,"46,199","49,822","51,029",86,7.8,2.4,71,Iowa
Worth,"44,664","53,655","55,418",64,20.1,3.3,57,Iowa
Wright,"47,067","57,903","70,420",11,23,21.6,4,Iowa
Allen,"44,503","48,367","46,726",81,8.7,-3.4,45,Kansas
Anderson,"44,783","54,564","47,195",76,21.8,-13.5,91,Kansas
Atchison,"41,948","44,558","42,910",98,6.2,-3.7,48,Kansas
Barber,"49,767","54,329","50,519",53,9.2,-7,63,Kansas
Barton,"50,775","53,073","55,270",34,4.5,4.1,5,Kansas
Bourbon,"45,170","48,308","49,749",58,6.9,3,10,Kansas
Brown,"48,624","51,797","47,205",75,6.5,-8.9,73,Kansas
Butler,"50,073","52,247","53,632",40,4.3,2.7,14,Kansas
Chase,"57,674","60,498","59,348",19,4.9,-1.9,37,Kansas
Chautauqua,"41,423","43,868","41,861",100,5.9,-4.6,55,Kansas
Cherokee,"47,248","51,304","52,464",46,8.6,2.3,15,Kansas
Cheyenne,"55,686","66,687","54,530",37,19.8,-18.2,101,Kansas
Clark,"57,388","55,860","58,135",25,-2.7,4.1,6,Kansas
Clay,"47,226","52,127","47,517",70,10.4,-8.8,72,Kansas
Cloud,"44,388","47,564","44,536",91,7.2,-6.4,59,Kansas
Coffey,"57,129","59,522","55,623",31,4.2,-6.6,62,Kansas
Comanche,"46,115","50,363","43,400",96,9.2,-13.8,92,Kansas
Cowley,"41,969","43,483","43,664",95,3.6,0.4,23,Kansas
Crawford,"43,056","45,203","45,340",89,5,0.3,24,Kansas
Decatur,"54,034","57,957","60,732",15,7.3,4.8,3,Kansas
Dickinson,"46,165","49,309","47,397",73,6.8,-3.9,51,Kansas
Doniphan,"46,521","51,252","47,117",78,10.2,-8.1,71,Kansas
Douglas,"48,676","51,852","52,799",45,6.5,1.8,17,Kansas
Edwards,"60,719","69,453","58,536",23,14.4,-15.7,97,Kansas
Elk,"40,883","43,195","39,811",103,5.7,-7.8,69,Kansas
Ellis,"50,940","54,414","56,016",29,6.8,2.9,11,Kansas
Ellsworth,"44,864","48,229","45,694",85,7.5,-5.3,57,Kansas
Finney,"45,041","48,330","49,645",59,7.3,2.7,13,Kansas
Ford,"44,324","47,093","47,179",77,6.2,0.2,25,Kansas
Franklin,"46,103","49,244","48,375",66,6.8,-1.8,35,Kansas
Geary,"47,866","50,749","50,324",54,6,-0.8,32,Kansas
Gove,"64,608","80,922","72,994",6,25.3,-9.8,77,Kansas
Graham,"54,595","61,443","51,368",50,12.5,-16.4,98,Kansas
Grant,"44,558","45,691","40,684",102,2.5,-11,85,Kansas
Gray,"66,495","66,373","65,914",9,-0.2,-0.7,31,Kansas
Greeley,"86,809","100,968","88,148",2,16.3,-12.7,88,Kansas
Greenwood,"46,327","47,809","42,891",99,3.2,-10.3,80,Kansas
Hamilton,"75,761","72,859","79,482",3,-3.8,9.1,1,Kansas
Harper,"56,357","60,523","58,307",24,7.4,-3.7,47,Kansas
Harvey,"47,458","50,317","50,772",51,6,0.9,21,Kansas
Haskell,"66,122","73,925","59,322",20,11.8,-19.8,102,Kansas
Hodgeman,"65,243","67,197","62,195",11,3,-7.4,66,Kansas
Jackson,"46,818","50,394","49,154",62,7.6,-2.5,40,Kansas
Jefferson,"50,114","53,748","53,560",41,7.3,-0.3,30,Kansas
Jewell,"55,310","62,428","46,694",82,12.9,-25.2,104,Kansas
Johnson,"79,088","83,008","90,503",1,5,9,2,Kansas
Kearny,"58,493","62,102","55,390",33,6.2,-10.8,83,Kansas
Kingman,"48,941","53,186","49,785",57,8.7,-6.4,61,Kansas
Kiowa,"51,374","55,693","43,681",94,8.4,-21.6,103,Kansas
Labette,"45,584","47,777","47,816",67,4.8,0.1,27,Kansas
Lane,"73,604","79,716","71,071",7,8.3,-10.8,84,Kansas
Leavenworth,"46,924","49,410","50,002",56,5.3,1.2,20,Kansas
Lincoln,"52,705","52,610","47,223",74,-0.2,-10.2,79,Kansas
Linn,"45,412","47,555","45,751",84,4.7,-3.8,49,Kansas
Logan,"59,476","66,462","59,864",17,11.7,-9.9,78,Kansas
Lyon,"44,176","46,871","46,789",80,6.1,-0.2,28,Kansas
McPherson,"54,911","57,500","57,557",26,4.7,0.1,26,Kansas
Marion,"46,345","48,660","45,002",90,5,-7.5,67,Kansas
Marshall,"47,599","50,423","45,513",86,5.9,-9.7,76,Kansas
Meade,"67,492","76,618","69,285",8,13.5,-9.6,75,Kansas
Miami,"54,189","58,344","59,222",21,7.7,1.5,18,Kansas
Mitchell,"69,152","68,490","63,466",10,-1,-7.3,65,Kansas
Montgomery,"40,393","43,372","43,912",93,7.4,1.2,19,Kansas
Morris,"50,099","52,176","49,627",60,4.1,-4.9,56,Kansas
Morton,"48,720","56,565","40,869",101,16.1,-27.7,105,Kansas
Nemaha,"58,366","61,428","59,052",22,5.2,-3.9,50,Kansas
Neosho,"43,760","46,270","45,486",87,5.7,-1.7,34,Kansas
Ness,"60,930","68,014","60,994",14,11.6,-10.3,81,Kansas
Norton,"48,640","53,018","51,832",48,9,-2.2,38,Kansas
Osage,"46,897","49,947","48,581",64,6.5,-2.7,43,Kansas
Osborne,"51,456","56,887","49,275",61,10.6,-13.4,90,Kansas
Ottawa,"46,289","51,194","48,942",63,10.6,-4.4,54,Kansas
Pawnee,"45,689","49,260","43,956",92,7.8,-10.8,82,Kansas
Phillips,"57,768","66,420","60,487",16,15,-8.9,74,Kansas
Pottawatomie,"56,879","60,383","61,738",12,6.2,2.2,16,Kansas
Pratt,"52,106","56,892","53,260",42,9.2,-6.4,60,Kansas
Rawlins,"66,530","79,578","76,456",5,19.6,-3.9,52,Kansas
Reno,"45,508","47,483","47,727",68,4.3,0.5,22,Kansas
Republic,"48,158","52,839","46,289",83,9.7,-12.4,87,Kansas
Rice,"47,651","49,625","48,402",65,4.1,-2.5,41,Kansas
Riley,"45,640","48,851","50,261",55,7,2.9,12,Kansas
Rooks,"46,030","49,653","43,120",97,7.9,-13.2,89,Kansas
Rush,"57,665","63,195","51,940",47,9.6,-17.8,100,Kansas
Russell,"50,134","54,598","52,834",44,8.9,-3.2,44,Kansas
Saline,"51,212","55,070","56,999",27,7.5,3.5,8,Kansas
Scott,"59,967","62,799","61,365",13,4.7,-2.3,39,Kansas
Sedgwick,"53,098","57,356","59,772",18,8,4.2,4,Kansas
Seward,"42,190","45,745","47,415",71,8.4,3.7,7,Kansas
Shawnee,"50,511","53,830","55,466",32,6.6,3,9,Kansas
Sheridan,"57,053","58,169","56,637",28,2,-2.6,42,Kansas
Sherman,"49,553","55,032","51,638",49,11.1,-6.2,58,Kansas
Smith,"55,927","64,222","54,221",38,14.8,-15.6,96,Kansas
Stafford,"49,755","51,809","47,665",69,4.1,-8,70,Kansas
Stanton,"84,155","90,913","77,840",4,8,-14.4,93,Kansas
Stevens,"50,025","54,888","50,696",52,9.7,-7.6,68,Kansas
Sumner,"43,866","47,378","45,475",88,8,-4,53,Kansas
Thomas,"49,970","55,220","54,673",36,10.5,-1,33,Kansas
Trego,"56,100","60,865","53,707",39,8.5,-11.8,86,Kansas
Wabaunsee,"53,796","56,877","55,871",30,5.7,-1.8,36,Kansas
Wallace,"60,126","63,589","53,062",43,5.8,-16.6,99,Kansas
Washington,"52,862","55,467","47,050",79,4.9,-15.2,95,Kansas
Wichita,"60,209","58,834","54,687",35,-2.3,-7,64,Kansas
Wilson,"45,033","49,202","47,414",72,9.3,-3.6,46,Kansas
Woodson,"42,827","45,866","39,243",104,7.1,-14.4,94,Kansas
Wyandotte,"36,191","38,363","38,253",105,6,-0.3,29,Kansas
Adair,"37,567","41,143","40,549",82,9.5,-1.4,77,Kentucky
Allen,"37,202","40,488","40,895",79,8.8,1,28,Kentucky
Anderson,"41,572","45,387","45,566",45,9.2,0.4,38,Kentucky
Ballard,"44,472","49,783","49,784",24,11.9,0,44,Kentucky
Barren,"40,063","43,554","42,779",69,8.7,-1.8,87,Kentucky
Bath,"34,438","37,846","37,167",112,9.9,-1.8,88,Kentucky
Bell,"36,979","40,554","39,665",92,9.7,-2.2,100,Kentucky
Boone,"53,533","57,549","58,730",7,7.5,2.1,13,Kentucky
Bourbon,"50,337","56,182","57,191",10,11.6,1.8,18,Kentucky
Boyd,"42,757","46,202","45,945",43,8.1,-0.6,57,Kentucky
Boyle,"42,176","45,389","45,282",47,7.6,-0.2,46,Kentucky
Bracken,"41,801","44,575","43,677",58,6.6,-2,96,Kentucky
Breathitt,"34,940","38,890","38,326",104,11.3,-1.5,78,Kentucky
Breckinridge,"38,155","42,471","41,519",76,11.3,-2.2,103,Kentucky
Bullitt,"46,371","50,450","51,198",21,8.8,1.5,25,Kentucky
Butler,"39,207","43,988","43,098",66,12.2,-2,97,Kentucky
Caldwell,"40,285","45,161","44,661",51,12.1,-1.1,66,Kentucky
Calloway,"42,030","44,871","43,984",56,6.8,-2,94,Kentucky
Campbell,"54,457","60,170","61,635",5,10.5,2.4,12,Kentucky
Carlisle,"46,119","54,056","53,759",15,17.2,-0.5,55,Kentucky
Carroll,"41,046","45,169","46,390",40,10,2.7,11,Kentucky
Carter,"35,782","39,157","38,473",103,9.4,-1.7,86,Kentucky
Casey,"36,560","40,176","39,572",94,9.9,-1.5,80,Kentucky
Christian,"40,914","44,728","42,881",68,9.3,-4.1,117,Kentucky
Clark,"43,653","47,818","47,562",36,9.5,-0.5,54,Kentucky
Clay,"34,708","38,722","37,992",106,11.6,-1.9,93,Kentucky
Clinton,"40,004","43,424","43,607",59,8.5,0.4,37,Kentucky
Crittenden,"38,425","42,516","41,566",75,10.6,-2.2,102,Kentucky
Cumberland,"47,037","50,269","49,499",26,6.9,-1.5,82,Kentucky
Daviess,"46,351","49,792","49,179",29,7.4,-1.2,70,Kentucky
Edmonson,"37,353","40,370","39,810",89,8.1,-1.4,73,Kentucky
Elliott,"26,929","28,564","27,403",120,6.1,-4.1,116,Kentucky
Estill,"36,666","39,731","38,999",101,8.4,-1.8,91,Kentucky
Fayette,"55,601","58,570","59,641",6,5.3,1.8,17,Kentucky
Fleming,"38,553","41,131","40,378",84,6.7,-1.8,90,Kentucky
Floyd,"39,189","43,160","43,435",63,10.1,0.6,33,Kentucky
Franklin,"45,866","49,432","49,471",27,7.8,0.1,42,Kentucky
Fulton,"35,395","41,459","41,030",78,17.1,-1,65,Kentucky
Gallatin,"38,876","43,124","43,018",67,10.9,-0.2,47,Kentucky
Garrard,"40,919","43,508","43,552",62,6.3,0.1,41,Kentucky
Grant,"41,639","45,803","45,551",46,10,-0.6,56,Kentucky
Graves,"43,031","48,525","50,193",23,12.8,3.4,7,Kentucky
Grayson,"39,021","42,057","41,583",74,7.8,-1.1,67,Kentucky
Green,"40,202","42,242","40,688",81,5.1,-3.7,112,Kentucky
Greenup,"44,186","47,354","47,623",35,7.2,0.6,36,Kentucky
Hancock,"40,996","49,540","53,953",14,20.8,8.9,1,Kentucky
Hardin,"48,025","52,412","52,724",17,9.1,0.6,34,Kentucky
Harlan,"34,123","38,007","37,712",108,11.4,-0.8,62,Kentucky
Harrison,"41,539","43,471","42,585",70,4.7,-2,98,Kentucky
Hart,"37,044","40,199","39,663",93,8.5,-1.3,72,Kentucky
Henderson,"45,039","49,595","48,905",30,10.1,-1.4,74,Kentucky
Henry,"44,986","49,400","49,517",25,9.8,0.2,40,Kentucky
Hickman,"41,805","53,695","56,507",11,28.4,5.2,3,Kentucky
Hopkins,"42,193","46,453","46,836",38,10.1,0.8,29,Kentucky
Jackson,"35,150","37,453","36,774",113,6.6,-1.8,89,Kentucky
Jefferson,"56,306","63,117","64,075",3,12.1,1.5,23,Kentucky
Jessamine,"51,766","57,061","58,177",9,10.2,2,14,Kentucky
Johnson,"36,100","39,389","39,254",100,9.1,-0.3,49,Kentucky
Kenton,"61,264","68,327","69,498",2,11.5,1.7,19,Kentucky
Knott,"36,756","41,076","40,743",80,11.8,-0.8,63,Kentucky
Knox,"34,963","38,425","37,196",111,9.9,-3.2,108,Kentucky
Larue,"40,560","43,587","42,444",71,7.5,-2.6,106,Kentucky
Laurel,"37,353","41,100","40,398",83,10,-1.7,85,Kentucky
Lawrence,"34,586","37,852","37,953",107,9.4,0.3,39,Kentucky
Lee,"32,152","35,022","34,518",116,8.9,-1.4,76,Kentucky
Leslie,"35,071","39,156","38,900",102,11.6,-0.7,59,Kentucky
Letcher,"35,490","39,431","39,260",99,11.1,-0.4,51,Kentucky
Lewis,"36,250","39,659","38,189",105,9.4,-3.7,113,Kentucky
Lincoln,"37,259","40,185","40,008",87,7.9,-0.4,52,Kentucky
Livingston,"44,001","45,864","45,791",44,4.2,-0.2,45,Kentucky
Logan,"40,156","45,313","44,262",55,12.8,-2.3,104,Kentucky
Lyon,"38,665","42,738","39,712",91,10.5,-7.1,120,Kentucky
McCracken,"51,037","57,198","58,253",8,12.1,1.8,16,Kentucky
McCreary,"31,173","35,636","34,058",117,14.3,-4.4,118,Kentucky
McLean,"41,143","49,120","51,396",20,19.4,4.6,4,Kentucky
Madison,"40,444","44,092","44,350",53,9,0.6,35,Kentucky
Magoffin,"38,786","42,114","41,338",77,8.6,-1.8,92,Kentucky
Marion,"40,521","44,091","43,553",61,8.8,-1.2,69,Kentucky
Marshall,"45,603","48,096","48,444",32,5.5,0.7,32,Kentucky
Martin,"32,706","32,500","31,956",118,-0.6,-1.7,84,Kentucky
Mason,"43,833","49,224","48,132",34,12.3,-2.2,101,Kentucky
Meade,"42,902","47,011","46,812",39,9.6,-0.4,50,Kentucky
Menifee,"37,480","40,555","39,714",90,8.2,-2.1,99,Kentucky
Mercer,"39,267","43,489","44,293",54,10.8,1.8,15,Kentucky
Metcalfe,"34,412","37,814","36,557",115,9.9,-3.3,109,Kentucky
Monroe,"39,731","43,913","44,662",50,10.5,1.7,20,Kentucky
Montgomery,"39,862","42,600","42,403",72,6.9,-0.5,53,Kentucky
Morgan,"30,828","33,802","31,709",119,9.6,-6.2,119,Kentucky
Muhlenberg,"36,600","40,806","40,189",85,11.5,-1.5,81,Kentucky
Nelson,"48,163","52,944","53,328",16,9.9,0.7,31,Kentucky
Nicholas,"37,668","39,933","39,341",98,6,-1.5,79,Kentucky
Ohio,"36,012","39,449","40,086",86,9.5,1.6,21,Kentucky
Oldham,"67,763","74,104","76,988",1,9.4,3.9,6,Kentucky
Owen,"36,300","40,100","39,525",96,10.5,-1.4,75,Kentucky
Owsley,"40,959","45,763","45,178",49,11.7,-1.3,71,Kentucky
Pendleton,"46,466","50,786","51,545",19,9.3,1.5,24,Kentucky
Perry,"39,236","43,103","43,108",65,9.9,0,43,Kentucky
Pike,"39,793","43,101","43,566",60,8.3,1.1,27,Kentucky
Powell,"34,696","37,615","37,380",110,8.4,-0.6,58,Kentucky
Pulaski,"42,593","46,622","46,059",42,9.5,-1.2,68,Kentucky
Robertson,"38,891","40,988","39,346",97,5.4,-4,114,Kentucky
Rockcastle,"37,490","40,166","39,538",95,7.1,-1.6,83,Kentucky
Rowan,"34,742","37,697","37,407",109,8.5,-0.8,61,Kentucky
Russell,"41,984","47,186","50,836",22,12.4,7.7,2,Kentucky
Scott,"48,133","51,804","52,623",18,7.6,1.6,22,Kentucky
Shelby,"50,857","55,778","56,480",12,9.7,1.3,26,Kentucky
Simpson,"40,588","44,315","43,164",64,9.2,-2.6,105,Kentucky
Spencer,"51,067","54,584","56,264",13,6.9,3.1,9,Kentucky
Taylor,"39,067","41,061","39,822",88,5.1,-3,107,Kentucky
Todd,"41,023","47,402","47,258",37,15.5,-0.3,48,Kentucky
Trigg,"42,819","46,060","44,456",52,7.6,-3.5,111,Kentucky
Trimble,"44,055","47,971","48,335",33,8.9,0.8,30,Kentucky
Union,"42,602","50,908","48,850",31,19.5,-4,115,Kentucky
Warren,"41,280","44,889","46,117",41,8.7,2.7,10,Kentucky
Washington,"42,690","45,655","45,188",48,6.9,-1,64,Kentucky
Wayne,"34,551","38,046","36,768",114,10.1,-3.4,110,Kentucky
Webster,"41,056","47,383","49,417",28,15.4,4.3,5,Kentucky
Whitley,"39,250","42,490","42,174",73,8.3,-0.7,60,Kentucky
Wolfe,"39,180","44,703","43,814",57,14.1,-2,95,Kentucky
Woodford,"54,791","60,593","62,468",4,10.6,3.1,8,Kentucky
Acadia,"43,949","46,156","45,671",42,5,-1.1,38,Louisiana
Allen,"41,541","42,685","42,506",52,2.8,-0.4,31,Louisiana
Ascension,"55,802","59,430","60,401",5,6.5,1.6,10,Louisiana
Assumption,"51,882","56,906","55,758",12,9.7,-2,49,Louisiana
Avoyelles,"42,720","45,358","43,997",49,6.2,-3,53,Louisiana
Beauregard,"47,287","50,171","50,503",22,6.1,0.7,19,Louisiana
Bienville,"42,610","45,454","45,148",43,6.7,-0.7,35,Louisiana
Bossier,"48,586","52,287","53,254",17,7.6,1.8,7,Louisiana
Caddo,"54,770","57,457","57,648",10,4.9,0.3,21,Louisiana
Calcasieu,"46,741","51,485","51,528",21,10.1,0.1,27,Louisiana
Caldwell,"39,014","41,175","39,823",60,5.5,-3.3,55,Louisiana
Cameron,"58,070","63,673","62,996",2,9.6,-1.1,39,Louisiana
Catahoula,"41,008","44,596","43,187",50,8.7,-3.2,54,Louisiana
Claiborne,"40,776","43,244","44,015",48,6.1,1.8,9,Louisiana
Concordia,"39,931","42,566","41,772",56,6.6,-1.9,48,Louisiana
De Soto,"47,361","52,201","53,134",18,10.2,1.8,8,Louisiana
East Baton Rouge,"55,045","60,054","59,982",6,9.1,-0.1,29,Louisiana
East Carroll,"34,664","39,065","36,012",64,12.7,-7.8,63,Louisiana
East Feliciana,"44,128","47,369","47,049",35,7.3,-0.7,36,Louisiana
Evangeline,"38,488","40,588","40,227",59,5.5,-0.9,37,Louisiana
Franklin,"37,497","40,432","38,874",61,7.8,-3.9,60,Louisiana
Grant,"35,084","37,319","37,371",63,6.4,0.1,25,Louisiana
Iberia,"42,131","46,671","45,133",44,10.8,-3.3,56,Louisiana
Iberville,"48,753","53,525","52,199",20,9.8,-2.5,50,Louisiana
Jackson,"39,063","41,899","42,143",54,7.3,0.6,20,Louisiana
Jefferson,"54,778","58,750","58,692",8,7.3,-0.1,28,Louisiana
Jefferson Davis,"45,806","46,875","48,472",28,2.3,3.4,3,Louisiana
Lafayette,"54,100","59,325","58,963",7,9.7,-0.6,34,Louisiana
Lafourche,"45,827","51,350","52,324",19,12.1,1.9,6,Louisiana
LaSalle,"36,817","37,835","37,415",62,2.8,-1.1,40,Louisiana
Lincoln,"42,019","46,908","47,336",33,11.6,0.9,15,Louisiana
Livingston,"45,942","48,549","49,173",25,5.7,1.3,12,Louisiana
Madison,"40,147","44,013","42,276",53,9.6,-3.9,61,Louisiana
Morehouse,"41,084","43,987","42,516",51,7.1,-3.3,57,Louisiana
Natchitoches,"44,180","48,022","49,209",24,8.7,2.5,4,Louisiana
Orleans,"55,577","62,529","61,623",4,12.5,-1.4,45,Louisiana
Ouachita,"43,602","46,926","46,982",36,7.6,0.1,26,Louisiana
Plaquemines,"51,198","55,422","55,606",13,8.3,0.3,22,Louisiana
Pointe Coupee,"53,594","58,848","57,183",11,9.8,-2.8,52,Louisiana
Rapides,"49,889","53,495","53,886",16,7.2,0.7,18,Louisiana
Red River,"49,727","53,791","54,295",15,8.2,0.9,14,Louisiana
Richland,"42,760","45,016","44,221",47,5.3,-1.8,46,Louisiana
Sabine,"41,561","45,073","46,947",37,8.5,4.2,1,Louisiana
St. Bernard,"39,309","42,345","41,861",55,7.7,-1.1,41,Louisiana
St. Charles,"52,667","56,796","57,667",9,7.8,1.5,11,Louisiana
St. Helena,"45,302","47,272","45,131",45,4.3,-4.5,62,Louisiana
St. James,"57,383","63,816","62,685",3,11.2,-1.8,47,Louisiana
St. John the Baptist,"44,015","46,310","45,723",40,5.2,-1.3,43,Louisiana
St. Landry,"45,077","47,852","47,611",29,6.2,-0.5,33,Louisiana
St. Martin,"42,485","46,190","44,910",46,8.7,-2.8,51,Louisiana
St. Mary,"44,257","48,637","46,797",39,9.9,-3.8,59,Louisiana
St. Tammany,"65,486","72,939","73,697",1,11.4,1,13,Louisiana
Tangipahoa,"43,882","47,748","47,512",32,8.8,-0.5,32,Louisiana
Tensas,"44,208","51,503","47,240",34,16.5,-8.3,64,Louisiana
Terrebonne,"45,377","48,195","48,629",27,6.2,0.9,16,Louisiana
Union,"44,103","47,052","48,882",26,6.7,3.9,2,Louisiana
Vermilion,"44,005","47,496","46,867",38,7.9,-1.3,44,Louisiana
Vernon,"44,507","47,689","47,558",30,7.1,-0.3,30,Louisiana
Washington,"39,371","41,881","41,376",57,6.4,-1.2,42,Louisiana
Webster,"45,731","49,635","49,707",23,8.5,0.1,24,Louisiana
West Baton Rouge,"51,626","54,767","54,895",14,6.1,0.2,23,Louisiana
West Carroll,"41,580","42,736","41,276",58,2.8,-3.4,58,Louisiana
West Feliciana,"42,183","45,329","45,693",41,7.5,0.8,17,Louisiana
Winn,"43,365","46,528","47,514",31,7.3,2.1,5,Louisiana
Androscoggin,"45,865","48,186","49,055",13,5.1,1.8,12,Maine
Aroostook,"46,791","49,913","50,915",10,6.7,2,11,Maine
Cumberland,"68,583","74,836","78,012",1,9.1,4.2,4,Maine
Franklin,"43,676","45,839","47,120",15,5,2.8,8,Maine
Hancock,"55,551","61,049","63,357",3,9.9,3.8,6,Maine
Kennebec,"50,123","54,056","55,361",7,7.8,2.4,10,Maine
Knox,"55,815","59,336","61,897",5,6.3,4.3,3,Maine
Lincoln,"54,689","59,193","61,524",6,8.2,3.9,5,Maine
Oxford,"42,791","45,799","46,450",16,7,1.4,15,Maine
Penobscot,"47,264","50,753","51,998",9,7.4,2.5,9,Maine
Piscataquis,"45,626","49,034","49,863",11,7.5,1.7,13,Maine
Sagadahoc,"54,540","59,874","62,568",4,9.8,4.5,2,Maine
Somerset,"43,319","46,752","47,306",14,7.9,1.2,16,Maine
Waldo,"47,866","51,915","54,714",8,8.5,5.4,1,Maine
Washington,"46,121","48,771","49,500",12,5.7,1.5,14,Maine
York,"57,737","62,833","65,074",2,8.8,3.6,7,Maine
Allegany,"45,121","47,424","46,293",22,5.1,-2.4,24,Maryland
Anne Arundel,"72,194","76,926","78,889",5,6.6,2.6,7,Maryland
Baltimore,"63,845","67,320","67,818",10,5.4,0.7,17,Maryland
Calvert,"67,104","68,977","70,717",8,2.8,2.5,8,Maryland
Caroline,"47,856","53,563","55,490",18,11.9,3.6,2,Maryland
Carroll,"65,131","69,738","71,235",7,7.1,2.1,11,Maryland
Cecil,"52,796","55,399","56,050",16,4.9,1.2,15,Maryland
Charles,"59,941","62,069","62,942",14,3.6,1.4,14,Maryland
Dorchester,"49,325","55,388","55,772",17,12.3,0.7,18,Maryland
Frederick,"65,495","69,851","72,151",6,6.7,3.3,3,Maryland
Garrett,"49,002","53,384","52,923",20,8.9,-0.9,21,Maryland
Harford,"62,146","66,172","67,473",11,6.5,2,12,Maryland
Howard,"81,308","86,602","88,927",2,6.5,2.7,5,Maryland
Kent,"63,055","69,001","69,715",9,9.4,1,16,Maryland
Montgomery,"85,373","91,042","93,395",1,6.6,2.6,6,Maryland
Prince George's,"50,197","53,317","52,756",21,6.2,-1.1,23,Maryland
Queen Anne's,"71,124","77,927","79,866",4,9.6,2.5,9,Maryland
St. Mary's,"62,459","65,118","66,146",12,4.3,1.6,13,Maryland
Somerset,"32,523","36,846","38,480",24,13.3,4.4,1,Maryland
Talbot,"78,636","85,781","88,449",3,9.1,3.1,4,Maryland
Washington,"49,195","53,049","53,382",19,7.8,0.6,19,Maryland
Wicomico,"42,951","46,559","46,153",23,8.4,-0.9,22,Maryland
Worcester,"59,037","64,601","64,486",13,9.4,-0.2,20,Maryland
Baltimore City,"54,125","58,435","59,807",15,8,2.3,10,Maryland
Barnstable,"79,606","83,891","85,317",6,5.4,1.7,4,Massachusetts
Berkshire,"61,119","64,444","64,758",10,5.4,0.5,10,Massachusetts
