County,2020,2021,2022,Rank in state,Percent change,Percent change,Rank in state,State
Newton,"35,535","38,339","37,835",65,7.9,-1.3,59,Arkansas
Ouachita,"43,455","46,915","48,100",17,8,2.5,23,Arkansas
Perry,"40,629","43,323","44,265",33,6.6,2.2,26,Arkansas
Phillips,"40,166","46,476","44,342",32,15.7,-4.6,72,Arkansas
Pike,"35,391","40,466","41,288",53,14.3,2,27,Arkansas
Poinsett,"39,122","43,231","42,536",43,10.5,-1.6,61,Arkansas
Polk,"33,975","37,993","39,652",62,11.8,4.4,12,Arkansas
Pope,"37,783","41,393","41,693",50,9.6,0.7,45,Arkansas
Prairie,"40,890","44,301","43,530",40,8.3,-1.7,62,Arkansas
Pulaski,"55,665","60,465","61,575",2,8.6,1.8,31,Arkansas
Randolph,"37,003","40,175","40,964",55,8.6,2,29,Arkansas
St. Francis,"33,567","36,972","35,659",70,10.1,-3.6,69,Arkansas
Saline,"47,277","51,191","52,328",4,8.3,2.2,25,Arkansas
Scott,"33,922","37,889","39,895",61,11.7,5.3,6,Arkansas
Searcy,"31,550","34,618","33,616",74,9.7,-2.9,67,Arkansas
Sebastian,"45,266","47,834","48,381",14,5.7,1.1,37,Arkansas
Sevier,"35,628","41,789","44,850",28,17.3,7.3,2,Arkansas
Sharp,"37,085","41,195","43,728",37,11.1,6.1,4,Arkansas
Stone,"34,072","37,248","36,857",67,9.3,-1,54,Arkansas
Union,"50,523","49,854","51,180",6,-1.3,2.7,22,Arkansas
Van Buren,"35,851","39,055","38,450",63,8.9,-1.5,60,Arkansas
Washington,"44,883","48,826","48,785",9,8.8,-0.1,49,Arkansas
White,"40,817","43,223","43,574",38,5.9,0.8,44,Arkansas
Woodruff,"45,716","50,500","50,313",7,10.5,-0.4,51,Arkansas
Yell,"36,843","41,968","44,030",36,13.9,4.9,8,Arkansas
Alameda,"87,561","98,657","97,754",5,12.7,-0.9,31,California
Alpine,"74,088","69,869","67,551",19,-5.7,-3.3,55,California
Amador,"47,359","49,980","48,463",45,5.5,-3,53,California
Butte,"51,308","56,011","54,974",33,9.2,-1.9,38,California
Calaveras,"54,090","56,723","56,001",31,4.9,-1.3,34,California
Colusa,"56,086","59,102","55,502",32,5.4,-6.1,57,California
Contra Costa,"86,359","94,834","95,047",6,9.8,0.2,19,California
Del Norte,"41,477","44,708","43,677",55,7.8,-2.3,42,California
El Dorado,"74,197","79,736","82,062",10,7.5,2.9,4,California
Fresno,"48,095","51,692","50,549",43,7.5,-2.2,40,California
Glenn,"49,494","52,251","51,055",41,5.6,-2.3,41,California
Humboldt,"50,271","54,214","54,043",36,7.8,-0.3,22,California
Imperial,"45,565","48,228","45,188",53,5.8,-6.3,58,California
Inyo,"59,712","60,944","61,501",25,2.1,0.9,16,California
Kern,"44,490","46,651","44,862",54,4.9,-3.8,56,California
Kings,"41,185","43,818","42,525",56,6.4,-3,51,California
Lake,"44,016","46,852","45,623",52,6.4,-2.6,45,California
Lassen,"38,061","41,151","40,700",57,8.1,-1.1,32,California
Los Angeles,"67,383","73,385","74,142",16,8.9,1,15,California
Madera,"44,394","47,533","46,406",50,7.1,-2.4,43,California
Marin,"144,658","165,673","171,177",2,14.5,3.3,2,California
Mariposa,"57,215","60,584","61,230",26,5.9,1.1,14,California
Mendocino,"52,477","56,701","57,310",29,8,1.1,13,California
Merced,"44,163","47,574","46,188",51,7.7,-2.9,49,California
Modoc,"53,072","55,646","56,559",30,4.9,1.6,10,California
Mono,"60,401","62,909","65,296",20,4.2,3.8,1,California
Monterey,"60,216","64,799","65,123",21,7.6,0.5,17,California
